auctions,repetition,bidders,true_reserve,method,reserve_estimate,reserve_error,absolute_reserve_error,revenue_regret,max_bid_w1,latent_value_w1,validation_max_bid_w1,fold_reserve_sd,pooled_reserve,training_auctions,regularized_target,regularized_error,standard_error,ci_lower,ci_upper,covers_regularized_target,covers_exact_reserve,score_at_estimate,score_jacobian,score_roots_on_grid,fold_average_reference,orthogonal_correction,nuisance_cdf_error_at_target,nuisance_density_error_at_target,maxima_below_exact_reserve,maxima_below_regularized_target
500,38,5,0.7718567076821209,Empirical-local DML,0.8079215057881081,0.03606479810598717,,6.40797326714182e-05,,,,,,,0.831833385726398,-0.023911879938289915,0.022891045553944493,0.7630550565023768,0.8527879550738393,1.0,1.0,-1.0683171504741296e-05,-1.4977753102932077,1.0,,,-0.005170019745774737,-0.02672932075926937,0.0,1.0
500,39,5,0.7718567076821209,Empirical-local DML,0.8983127335664329,0.12645602588431204,,0.0013610755427373444,,,,,,,0.831833385726398,0.06647934784003495,0.03785925219007149,0.8241085992738928,0.9725168678589731,1.0,0.0,2.9316741914406917e-06,-1.439006464366278,1.0,,,0.0018908119599935318,-0.0045273484189077146,3.0,6.0
500,40,5,0.7718567076821209,Empirical-local DML,0.8294449778866692,0.057588270204548264,,0.00018801058666095827,,,,,,,0.831833385726398,-0.0023884078397288233,0.028244529440015993,0.7740857001842378,0.8848042555891005,1.0,0.0,-1.962182541799251e-06,-1.3596473700546803,1.0,,,-0.003798917550551645,-0.019813139716994485,0.0,2.0
500,41,5,0.7718567076821209,Empirical-local DML,0.8016820582359374,0.02982535055381652,,4.2028316676434585e-05,,,,,,,0.831833385726398,-0.030151327490460567,0.02754521481238836,0.7476934372036562,0.8556706792682186,1.0,1.0,-1.1927447549917148e-05,-1.555080130569425,1.0,,,-0.0020704448434304985,-0.0020494776436749546,1.0,1.0
500,42,5,0.7718567076821209,Empirical-local DML,0.857650828252775,0.08579412057065416,,0.0004967406436726662,,,,,,,0.831833385726398,0.025817442526377077,0.03927823835037186,0.7806654810860463,0.9346361754195038,1.0,0.0,-2.3747219727585646e-06,-1.2095236225377775,1.0,,,-0.001947526992886646,-0.01497205086273834,2.0,3.0
500,43,5,0.7718567076821209,Empirical-local DML,0.8638926425337037,0.09203593485158279,,0.000593250707240367,,,,,,,0.831833385726398,0.0320592568073057,0.044759422040151466,0.7761641753350068,0.9516211097324005,1.0,0.0,-3.5824199437399784e-06,-1.081137886803964,1.0,,,0.0007502280436083985,-0.000698485687216574,1.0,2.0
500,44,5,0.7718567076821209,Empirical-local DML,0.8556196982363782,0.08376299055425729,,0.00046776410806170787,,,,,,,0.831833385726398,0.0237863125099802,0.039062454334613285,0.7790572877405362,0.9321821087322202,1.0,0.0,-3.897847716885394e-06,-1.5361036248976851,1.0,,,-0.00044858970770114866,-0.007988503618401241,2.0,3.0
500,45,5,0.7718567076821209,Empirical-local DML,0.8067429372400907,0.03488622955796983,,5.949015944217706e-05,,,,,,,0.831833385726398,-0.02509044848630726,0.0301988130022122,0.7475532637557548,0.8659326107244266,1.0,1.0,-8.542542090854255e-06,-1.4144387068055146,1.0,,,-0.0008777895101642202,-0.00017686272544478743,1.0,3.0
500,46,5,0.7718567076821209,Empirical-local DML,0.8420869137120783,0.07023020602995744,,0.00030274701807941895,,,,,,,0.831833385726398,0.010253527985680355,0.034319109626569526,0.7748214588440021,0.9093523685801546,1.0,0.0,-1.0956045733834684e-05,-1.3787378084739714,1.0,,,-0.0026958717766149224,-0.013434405203700761,0.0,2.0
500,47,5,0.7718567076821209,Empirical-local DML,0.819719309816933,0.04786260213481208,,0.00012198361408399805,,,,,,,0.831833385726398,-0.012114075909465005,0.021754897217969246,0.7770797112697132,0.8623589083641527,1.0,0.0,-2.3065195611593482e-07,-1.5785361285123471,1.0,,,-0.003311332100096341,-0.015245604457280446,0.0,1.0
500,48,5,0.7718567076821209,Empirical-local DML,0.8175993985486388,0.04574269086651794,,0.00010988722699556419,,,,,,,0.831833385726398,-0.014233987177759144,0.03374048171136083,0.7514680543943716,0.8837307427029061,1.0,1.0,-8.228139817269665e-06,-1.1404254613864815,1.0,,,0.0008314380617735501,0.008484770521802243,1.0,3.0
500,49,5,0.7718567076821209,Empirical-local DML,0.8036776559720629,0.031820948289941975,,4.8488373232347115e-05,,,,,,,0.831833385726398,-0.028155729754335113,0.032577977084571406,0.739824820886303,0.8675304910578228,1.0,1.0,-6.199600313358644e-06,-1.3839779177883649,1.0,,,0.00047272660761851944,0.011175359907757601,2.0,2.0
500,50,5,0.7718567076821209,Empirical-local DML,0.8825493307961247,0.11069262311400385,,0.0009557128728350239,,,,,,,0.831833385726398,0.050715945069726764,0.042326243904085556,0.7995898927441171,0.9655087688481324,1.0,0.0,-1.502968277048211e-06,-1.0958658156014478,1.0,,,0.0023619690721151144,0.0006584997141208804,2.0,5.0
500,51,5,0.7718567076821209,Empirical-local DML,0.8369007859180803,0.06504407823595937,,0.0002514217475715341,,,,,,,0.831833385726398,0.005067400191682281,0.038414373978495446,0.7616086129202292,0.9121929589159313,1.0,1.0,-1.2068026382891616e-05,-1.8851959345857514,1.0,,,-0.002048522381656816,-0.005939236823813143,1.0,2.0
500,52,5,0.7718567076821209,Empirical-local DML,0.8276398969925762,0.05578318931045534,,0.00017438706686823124,,,,,,,0.831833385726398,-0.004193488733821749,0.033496805512128615,0.7619861581888041,0.8932936357963484,1.0,1.0,-1.0605089295715686e-05,-1.1504647226566043,1.0,,,-0.003184504440878831,-0.019158049838092633,0.0,1.0
500,53,5,0.7718567076821209,Empirical-local DML,0.8197844437917926,0.047927736109671715,,0.00012236767644036028,,,,,,,0.831833385726398,-0.012048941934605373,0.02794586095079694,0.7650105563282306,0.8745583312553546,1.0,1.0,-1.1829249960300103e-06,-1.5882119841395912,1.0,,,-0.004323589909075805,-0.01884759448237011,0.0,1.0
500,54,5,0.7718567076821209,Empirical-local DML,0.7822353709732213,0.010378663291100376,,4.451753830458927e-06,,,,,,,0.831833385726398,-0.04959801475317671,0.01984867854359855,0.7433319610277681,0.8211387809186744,0.0,1.0,-9.599281243509949e-06,-1.6229230035262776,1.0,,,-0.0015885158623007711,0.0036640895605922347,0.0,1.0
500,55,5,0.7718567076821209,Empirical-local DML,0.873657937770903,0.10180123008878206,,0.0007683617951521615,,,,,,,0.831833385726398,0.04182455204450497,0.03997266851168469,0.795311507488001,0.952004368053805,1.0,0.0,-4.637687381523925e-06,-1.4195184321888672,1.0,,,-0.004294159674630725,-0.027308424365938833,0.0,2.0
500,56,5,0.7718567076821209,Empirical-local DML,0.8083472956931891,0.03649058801106819,,6.578827489178707e-05,,,,,,,0.831833385726398,-0.023486090033208895,0.030514392281778546,0.7485390868209031,0.8681555045654751,1.0,1.0,-5.542789644625401e-06,-1.2837672581768063,1.0,,,0.002476283384715325,0.022619680750371032,2.0,4.0
