auctions,repetition,bandwidth_exponent,method,bandwidth,true_reserve,population_target,population_target_bias,reserve_estimate,reserve_error,target_error,standard_error,ci_lower,ci_upper,covers_exact_reserve,covers_population_target,small_bandwidth_roots,large_bandwidth_roots,any_multiple_roots,any_missing_root,root_gap,estimate_outside_grid
500,123,0.2,$n^{-0.2}$ DML,0.15,0.7718567076821209,0.8318333857263981,0.0599766780442772,0.7782952592422862,0.0064385515601652,-0.0535381264841119,0.030475374053188,0.7185635260980375,0.8380269923865348,True,True,1,1,False,False,0.0565943099699312,False
500,123,0.2,$n^{-0.2}$ Richardson,0.15,0.7718567076821209,0.7987070733585381,0.0268503656764171,0.7217009492723551,-0.0501557584097658,-0.077006124086183,0.046487761259759,0.6305849372032273,0.8128169613414828,True,True,1,1,False,False,0.0565943099699312,False
500,123,0.35,$n^{-0.35}$ DML,0.15,0.7718567076821209,0.8318333857263981,0.0599766780442772,0.7782952592422862,0.0064385515601652,-0.0535381264841119,0.030475374053188,0.7185635260980375,0.8380269923865348,True,True,1,1,False,False,0.0565943099699312,False
500,123,0.35,$n^{-0.35}$ Richardson,0.15,0.7718567076821209,0.7987070733585381,0.0268503656764171,0.7217009492723551,-0.0501557584097658,-0.077006124086183,0.046487761259759,0.6305849372032273,0.8128169613414828,True,True,1,1,False,False,0.0565943099699312,False
500,124,0.2,$n^{-0.2}$ DML,0.15,0.7718567076821209,0.8318333857263981,0.0599766780442772,0.802641740100972,0.0307850324188511,-0.029191645625426,0.0215384810534105,0.7604263172362873,0.8448571629656567,True,True,1,1,False,False,0.0346776277832604,False
500,124,0.2,$n^{-0.2}$ Richardson,0.15,0.7718567076821209,0.7987070733585381,0.0268503656764171,0.7679641123177117,-0.0038925953644092,-0.0307429610408264,0.0296590475923519,0.7098323790367019,0.8260958455987214,True,True,1,1,False,False,0.0346776277832604,False
500,124,0.35,$n^{-0.35}$ DML,0.15,0.7718567076821209,0.8318333857263981,0.0599766780442772,0.802641740100972,0.0307850324188511,-0.029191645625426,0.0215384810534105,0.7604263172362873,0.8448571629656567,True,True,1,1,False,False,0.0346776277832604,False
500,124,0.35,$n^{-0.35}$ Richardson,0.15,0.7718567076821209,0.7987070733585381,0.0268503656764171,0.7679641123177117,-0.0038925953644092,-0.0307429610408264,0.0296590475923519,0.7098323790367019,0.8260958455987214,True,True,1,1,False,False,0.0346776277832604,False
500,125,0.2,$n^{-0.2}$ DML,0.15,0.7718567076821209,0.8318333857263981,0.0599766780442772,0.794513789541686,0.0226570818595651,-0.037319596184712,0.0294095324924282,0.7368711058565267,0.8521564732268454,True,True,1,1,False,False,0.0562274084759945,False
500,125,0.2,$n^{-0.2}$ Richardson,0.15,0.7718567076821209,0.7987070733585381,0.0268503656764171,0.7382863810656917,-0.0335703266164292,-0.0604206922928464,0.0453273577151918,0.6494447599439157,0.8271280021874676,True,True,1,1,False,False,0.0562274084759945,False
