dgp,bidders,auctions,repetition,exact_reserve,regularized_target,population_root_count,dml_estimate,dml_target_error,dml_exact_error,standard_error,ci_lower,ci_upper,covers_regularized_target,covers_exact_reserve,sample_root_count,direct_estimate,direct_exact_error,maxima_below_exact_reserve
Mixture,5,2000,45,0.7580282496557116,0.8749741936852664,1,0.888398570454941,0.013424376769674562,0.1303703207992294,0.0218389509582239,0.8455942265768221,0.9312029143330598,True,False,1,0.915905446752779,0.15787719709706738,6
Mixture,5,2000,46,0.7580282496557116,0.8749741936852664,1,0.9073339728191805,0.03235977913391408,0.1493057231634689,0.023987868267909447,0.8603177510140779,0.954350194624283,True,False,1,0.8755153593501728,0.11748710969446119,3
Mixture,5,2000,47,0.7580282496557116,0.8749741936852664,1,0.9018202718073293,0.026846078122062855,0.14379202215161768,0.025711129131008804,0.851426458710552,0.9522140849041065,True,False,1,0.7235956788577673,-0.03443257079794426,3
Mixture,5,2000,48,0.7580282496557116,0.8749741936852664,1,0.8860668401354038,0.011092646450137411,0.12803859047969224,0.02451314158967977,0.8380210826196315,0.9341125976511762,True,False,1,0.7609687996625523,0.002940550006840681,0
Mixture,5,2000,49,0.7580282496557116,0.8749741936852664,1,0.8441626931338727,-0.0308115005513937,0.08613444347816113,0.016821959945499315,0.8111916516406941,0.8771337346270514,True,False,1,0.8184947145373462,0.06046646488163465,2
Mixture,5,2000,50,0.7580282496557116,0.8749741936852664,1,0.9018051260480895,0.02683093236282308,0.1437768763923779,0.02536524390626144,0.8520892479918171,0.9515210041043619,True,False,1,0.8054847844751086,0.047456534819397045,5
Mixture,5,2000,51,0.7580282496557116,0.8749741936852664,1,0.8721564265931209,-0.00281776709214554,0.11412817693740929,0.02075033485158242,0.8314857702840194,0.9128270829022224,True,False,1,0.8687896974988549,0.11076144784314335,2
Mixture,5,2000,52,0.7580282496557116,0.8749741936852664,1,0.8730656206728497,-0.0019085730124167588,0.11503737101713807,0.020473545760195576,0.8329374709828663,0.913193770362833,True,False,1,0.8190571388758134,0.061028889220101856,2
Mixture,5,2000,53,0.7580282496557116,0.8749741936852664,1,0.8806269338856274,0.005652740200360995,0.12259868422991582,0.023153965476662465,0.835245161551369,0.9260087062198858,True,False,1,0.7624979933751335,0.004469743719421881,1
Mixture,5,2000,54,0.7580282496557116,0.8749741936852664,1,0.8614978277734352,-0.013476365911831212,0.10346957811772362,0.02068124428405214,0.820962588976693,0.9020330665701773,True,False,1,0.7366404267406189,-0.02138782291509267,2
Mixture,5,2000,55,0.7580282496557116,0.8749741936852664,1,0.8985909961678834,0.023616802482616994,0.14056274651217182,0.023096324742654266,0.8533221996722811,0.9438597926634857,True,False,1,0.9461855381738427,0.18815728851813107,4
Mixture,5,2000,56,0.7580282496557116,0.8749741936852664,1,0.9019282699726512,0.026954076287384776,0.1439000203169396,0.028991425984554092,0.8451050750429252,0.9587514649023772,True,False,1,0.8417963514644436,0.08376810180873207,4
Mixture,5,2000,57,0.7580282496557116,0.8749741936852664,1,0.8419119369913236,-0.033062256693942804,0.08388368733561202,0.017883261276678598,0.8068607448890336,0.8769631290936136,True,False,1,0.7937644513480978,0.03573620169238623,0
Mixture,5,2000,58,0.7580282496557116,0.8749741936852664,1,0.8708898909621168,-0.004084302723149635,0.11286164130640519,0.018599632623536002,0.8344346110199862,0.9073451709042474,True,False,1,0.8744002624249616,0.11637201276925002,2
Mixture,5,2000,59,0.7580282496557116,0.8749741936852664,1,0.8887982512387966,0.013824057553530222,0.13077000158308505,0.02569967327481897,0.8384268916201515,0.9391696108574418,True,False,1,0.8202029505521701,0.06217470089645849,1
Mixture,5,2000,60,0.7580282496557116,0.8749741936852664,1,0.8581550387361375,-0.01681915494912889,0.10012678908042594,0.019474416769874672,0.8199851818671832,0.8963248956050919,True,False,1,0.8288867353170756,0.07085848566136399,1
Mixture,5,2000,61,0.7580282496557116,0.8749741936852664,1,0.8699547088326308,-0.005019484852635592,0.11192645917691924,0.020779420227766805,0.8292270451862078,0.9106823724790538,True,False,1,0.8902014332716905,0.13217318361597896,2
Mixture,5,2000,62,0.7580282496557116,0.8749741936852664,1,0.9047125791807406,0.02973838549547414,0.14668432952502897,0.02319261469966051,0.859255054369406,0.9501701039920751,True,False,1,0.8533529051306459,0.0953246554749343,5
Mixture,5,2000,63,0.7580282496557116,0.8749741936852664,1,0.8303817488561763,-0.04459244482909008,0.07235349920046474,0.01910231894647843,0.7929412037210786,0.8678222939912741,False,False,1,0.8174219599574334,0.0593937103017218,0
Mixture,5,2000,64,0.7580282496557116,0.8749741936852664,1,0.8867714938769794,0.01179730019171299,0.12874324422126782,0.023357153855035822,0.8409914723211092,0.9325515154328496,True,False,1,0.7814802491274127,0.023451999471701068,0
Mixture,5,2000,65,0.7580282496557116,0.8749741936852664,1,0.8896706746432173,0.014696480957950842,0.13164242498750567,0.027218085970908308,0.836323226140237,0.9430181231461975,True,False,1,0.746859175949266,-0.011169073706445598,1
Mixture,5,2000,66,0.7580282496557116,0.8749741936852664,1,0.9113351890462432,0.03636099536097681,0.15330693939053164,0.027443642783702545,0.8575456491901863,0.9651247289023002,True,False,1,0.7886274186480952,0.030599168992383574,2
Mixture,5,2000,67,0.7580282496557116,0.8749741936852664,1,0.8540140400441725,-0.020960153641093937,0.09598579038846089,0.019652140050425145,0.8154958455453392,0.8925322345430058,True,False,1,0.7616639312399974,0.0036356815842858436,1
Mixture,5,2000,68,0.7580282496557116,0.8749741936852664,1,0.8906223005200209,0.015648106834754483,0.1325940508643093,0.021749143617893884,0.8479939790289489,0.9332506220110929,True,False,1,0.798570363808933,0.0405421141532214,1
Mixture,5,2000,69,0.7580282496557116,0.8749741936852664,1,0.9052975458134271,0.03032335212816073,0.14726929615771556,0.023545609456457808,0.8591481512787699,0.9514469403480844,True,False,1,0.7622592021863256,0.004230952530614007,1
Mixture,5,2000,70,0.7580282496557116,0.8749741936852664,1,0.8935687262245,0.0185945325392336,0.13554047656878843,0.02531154280344962,0.8439581023297388,0.9431793501192612,True,False,1,0.8628122441128281,0.1047839944571165,2
Mixture,5,2000,71,0.7580282496557116,0.8749741936852664,1,0.9151099769609805,0.0401357832757141,0.15708172730526893,0.02846422803066191,0.8593200900208832,0.9708998639010779,True,False,1,0.7296349540786329,-0.028393295577078703,2
Mixture,5,2000,72,0.7580282496557116,0.8749741936852664,1,0.8728275624944989,-0.002146631190767523,0.1147993128387873,0.022216316182682348,0.8292835827764415,0.9163715422125562,True,False,1,0.8006760843683991,0.042647834712687516,2
Mixture,5,2000,73,0.7580282496557116,0.8749741936852664,1,0.8543171184256496,-0.020657075259616797,0.09628886876993803,0.019076146181439588,0.816927871910028,0.8917063649412712,True,False,1,0.8873443020024209,0.1293160523467093,1
Mixture,5,2000,74,0.7580282496557116,0.8749741936852664,1,0.9006513268652949,0.02567713318002851,0.14262307720958334,0.022225059485987613,0.8570902102727592,0.9442124434578306,True,False,1,0.8716574285780825,0.1136291789223709,2
Mixture,5,2000,75,0.7580282496557116,0.8749741936852664,1,0.8907154353006616,0.01574124161539514,0.13268718564494997,0.02100690642733561,0.8495418987030837,0.9318889718982394,True,False,1,0.8004023656552317,0.04237411599952012,1
Mixture,5,2000,76,0.7580282496557116,0.8749741936852664,1,0.910183412692772,0.03520921900750562,0.15215516303706045,0.023853975254665972,0.8634296211936268,0.9569372041919173,True,False,1,0.8007138357017647,0.0426855860460531,4
Mixture,5,2000,77,0.7580282496557116,0.8749741936852664,1,0.916431129883706,0.0414569361984396,0.15840288022799442,0.032242018862754664,0.8532367729127068,0.9796254868547052,True,False,1,0.719592251750103,-0.03843599790560859,3
Mixture,5,2000,78,0.7580282496557116,0.8749741936852664,1,0.8418128249621044,-0.033161368723162,0.08378457530639283,0.0187793669499247,0.805005265740252,0.8786203841839568,True,False,1,0.7856775809435043,0.027649331287792678,1
